username,operation,timestamp
Bob.Beginner@gmail.com,login,2017-03-31 06:30:02.123
Bob.Beginner@gmail.com,logout,2017-03-31 06:35:02.123
Bob.Beginner@gmail.com,login,2017-03-31 06:40:02.123
Bob.Beginner@gmail.com,logout,2017-03-31 06:45:02.123
Bob.Beginner@gmail.com,login,2017-03-31 06:50:02.123
Bob.Beginner@gmail.com,logout,2017-03-31 06:55:02.123
Bob.Beginner@gmail.com,login,2017-03-31 07:10:02.123
Bob.Beginner@gmail.com,logout,2017-03-31 07:15:02.123
Bob.Beginner@gmail.com,login,2017-03-31 06:30:02.123
Bob.Beginner@gmail.com,logout,2017-03-31 06:35:02.123
Bob.Beginner@gmail.com,login,2017-03-31 06:40:02.123
Bob.Beginner@gmail.com,logout,2017-03-31 06:45:02.123
Bob.Beginner@gmail.com,login,2017-03-31 06:50:02.123
